Date,Symbol,Status,Buy_Price
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.17
2026-01-13,NU,holding,17.165
2026-01-13,NU,holding,17.165
2026-01-13,NU,holding,17.165
2026-01-13,NU,holding,17.165
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,NU,holding,17.115
2026-01-13,JMIA,holding,14.2491
2026-01-13,JMIA,holding,14.2491
2026-01-13,JMIA,holding,14.2491
2026-01-13,JMIA,holding,14.2491
2026-01-13,JMIA,holding,14.2491
2026-01-14,NU,holding,16.71
2026-01-14,NU,holding,16.71
2026-01-14,NU,holding,16.71
2026-01-14,NU,holding,16.71
2026-01-14,NU,holding,16.71
2026-01-14,NU,holding,16.5
2026-01-14,NU,holding,16.5
2026-01-14,NU,holding,16.5
2026-01-14,NU,holding,16.5
2026-01-14,NU,holding,16.5
2026-01-15,JMIA,holding,12.9388
2026-01-15,JMIA,holding,12.9388
2026-01-15,JMIA,holding,12.9388
2026-01-15,JMIA,holding,12.9388
2026-01-15,JMIA,holding,12.9388
2026-02-04,JMIA,holding,12.5
2026-02-04,JMIA,holding,12.5
2026-02-04,JMIA,holding,12.5
2026-02-04,JMIA,holding,12.5
2026-02-04,JMIA,holding,12.5
2026-02-04,JMIA,holding,12.1193
2026-02-04,JMIA,holding,12.1193
2026-02-04,JMIA,holding,12.1193
2026-02-04,JMIA,holding,12.1193
2026-02-04,JMIA,holding,12.1193
2026-02-05,NU,holding,17.25
2026-02-05,NU,holding,17.25
2026-02-05,NU,holding,17.25
2026-02-05,NU,holding,17.25
2026-02-05,NU,holding,17.25
2026-02-05,JMIA,holding,11.3891
2026-02-05,JMIA,holding,11.3891
2026-02-05,JMIA,holding,11.3891
2026-02-05,JMIA,holding,11.3891
2026-02-05,JMIA,holding,11.3891
2026-02-06,NU,holding,16.635
2026-02-06,NU,holding,16.635
2026-02-06,NU,holding,16.635
2026-02-06,NU,holding,16.635
2026-02-06,NU,holding,16.635
2026-02-06,JMIA,holding,10.885
2026-02-06,JMIA,holding,10.885
2026-02-06,JMIA,holding,10.885
2026-02-06,JMIA,holding,10.885
2026-02-06,JMIA,holding,10.885
2026-02-12,JMIA,holding,10.1900 
2026-02-12,JMIA,holding,10.1900 
2026-02-12,JMIA,holding,10.1900 
2026-02-12,JMIA,holding,10.1900 
2026-02-12,JMIA,holding,10.1900 
2026-02-12,JMIA,holding,9.8288
2026-02-12,JMIA,holding,9.8288
2026-02-12,JMIA,holding,9.8288
2026-02-12,JMIA,holding,9.8288
2026-02-12,JMIA,holding,9.8288
2026-02-18,NU,holding,16.9493
2026-02-18,NU,holding,16.9493
2026-02-18,NU,holding,16.9493
2026-02-18,NU,holding,16.9493
2026-02-18,NU,holding,16.9493
2026-02-18,JMIA,holding,9.15
2026-02-18,JMIA,holding,9.15
2026-02-18,JMIA,holding,9.15
2026-02-18,JMIA,holding,9.15
2026-02-18,JMIA,holding,9.15
2026-02-24,JMIA,holding,8.79
2026-02-24,JMIA,holding,8.7950
2026-02-24,JMIA,holding,8.7950
2026-02-24,JMIA,holding,8.7950
2026-02-24,JMIA,holding,8.7950
2026-02-24,NU,holding,16.4350
2026-02-24,NU,holding,16.4350
2026-02-24,NU,holding,16.4350
2026-02-24,NU,holding,16.4350
2026-02-24,NU,holding,16.4350
